Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 5401.02,17031540102,24.70,2.39
Census tract,Tract 5501,17031550100,17.00,1.43
Census tract,Tract 5502,17031550200,14.80,1.38
Census tract,Tract 5601,17031560100,13.70,1.38
Census tract,Tract 5602,17031560200,16.40,1.64
Census tract,Tract 5603,17031560300,14.40,1.43
Census tract,Tract 5604,17031560400,16.20,1.55
Census tract,Tract 5607,17031560700,15.60,1.55
Census tract,Tract 5608,17031560800,14.10,1.34
Census tract,Tract 5609,17031560900,14.30,1.38
Census tract,Tract 5610,17031561000,14.40,1.34
Census tract,Tract 5611,17031561100,13.90,1.30
Census tract,Tract 5701,17031570100,16.00,1.76
Census tract,Tract 5702,17031570200,14.30,1.43
Census tract,Tract 5703,17031570300,15.60,1.64
Census tract,Tract 5704,17031570400,16.40,1.51
Census tract,Tract 5705,17031570500,15.70,1.51
Census tract,Tract 5801,17031580100,14.00,1.47
Census tract,Tract 5802,17031580200,17.70,1.59
Census tract,Tract 5803,17031580300,14.60,1.47
Census tract,Tract 5804,17031580400,16.00,1.64
Census tract,Tract 5805.01,17031580501,15.40,1.47
Census tract,Tract 5805.02,17031580502,16.60,1.72
Census tract,Tract 5806,17031580600,15.90,1.76
Census tract,Tract 5807,17031580700,17.50,1.68
Census tract,Tract 5808,17031580800,15.70,1.64
Census tract,Tract 5905,17031590500,13.20,1.34
Census tract,Tract 5906,17031590600,14.90,1.51
Census tract,Tract 5907,17031590700,15.40,1.55
Census tract,Tract 6004,17031600400,14.10,1.38
Census tract,Tract 6006,17031600600,14.60,1.51
Census tract,Tract 6007,17031600700,15.20,1.43
Census tract,Tract 6009,17031600900,16.80,1.59
Census tract,Tract 6103,17031610300,17.90,1.80
Census tract,Tract 6104,17031610400,17.10,1.85
Census tract,Tract 6108,17031610800,16.40,1.59
Census tract,Tract 6112,17031611200,18.20,1.68
Census tract,Tract 6113,17031611300,17.50,1.59
Census tract,Tract 6114,17031611400,20.60,2.01
Census tract,Tract 6115,17031611500,18.10,1.76
Census tract,Tract 6116,17031611600,19.10,1.55
Census tract,Tract 6117,17031611700,20.30,1.72
Census tract,Tract 6118,17031611800,18.70,1.59
Census tract,Tract 6119,17031611900,21.70,1.93
Census tract,Tract 6120,17031612000,17.80,1.93
Census tract,Tract 6121,17031612100,19.20,1.93
Census tract,Tract 6122,17031612200,19.60,1.76
Census tract,Tract 6201,17031620100,15.90,1.64
Census tract,Tract 6202,17031620200,15.30,1.55
Census tract,Tract 6203,17031620300,15.00,1.64
Census tract,Tract 6204,17031620400,15.90,1.64
Census tract,Tract 6303,17031630300,17.40,1.80
Census tract,Tract 6304,17031630400,17.20,1.80
Census tract,Tract 6305,17031630500,16.90,1.76
Census tract,Tract 6306,17031630600,17.60,1.59
Census tract,Tract 6308,17031630800,16.50,1.72
Census tract,Tract 6309,17031630900,15.50,1.55
Census tract,Tract 6401,17031640100,15.60,1.55
Census tract,Tract 6403,17031640300,15.80,1.38
Census tract,Tract 6404,17031640400,15.00,1.47
Census tract,Tract 6405,17031640500,15.10,1.38
Census tract,Tract 6406,17031640600,14.50,1.38
Census tract,Tract 6407,17031640700,15.10,1.47
Census tract,Tract 6408,17031640800,16.40,1.64
Census tract,Tract 6501,17031650100,15.50,1.68
Census tract,Tract 6502,17031650200,14.90,1.68
Census tract,Tract 6503.01,17031650301,16.80,1.68
Census tract,Tract 6503.02,17031650302,17.00,1.80
Census tract,Tract 6504,17031650400,16.30,1.80
