Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 631,17031063100,15.20,1.97
Census tract,Tract 632,17031063200,12.40,1.38
Census tract,Tract 633.01,17031063301,15.40,1.80
Census tract,Tract 633.02,17031063302,13.80,1.55
Census tract,Tract 633.03,17031063303,9.60,1.09
Census tract,Tract 634,17031063400,14.50,1.80
Census tract,Tract 701.01,17031070101,13.10,1.55
Census tract,Tract 701.02,17031070102,13.80,1.64
Census tract,Tract 701.03,17031070103,15.60,1.93
Census tract,Tract 702,17031070200,14.90,1.85
Census tract,Tract 703,17031070300,15.10,1.85
Census tract,Tract 704,17031070400,14.80,1.89
Census tract,Tract 705,17031070500,13.20,1.59
Census tract,Tract 706,17031070600,12.90,1.47
Census tract,Tract 707,17031070700,14.10,1.64
Census tract,Tract 710,17031071000,18.40,2.73
Census tract,Tract 711,17031071100,16.00,2.18
Census tract,Tract 712,17031071200,14.70,1.89
Census tract,Tract 713,17031071300,14.10,1.59
Census tract,Tract 714,17031071400,14.00,1.68
Census tract,Tract 715,17031071500,13.30,1.64
Census tract,Tract 716,17031071600,12.40,1.47
Census tract,Tract 717,17031071700,12.40,1.26
Census tract,Tract 718,17031071800,12.40,1.22
Census tract,Tract 801,17031080100,11.40,1.26
Census tract,Tract 802.01,17031080201,11.90,1.43
Census tract,Tract 802.02,17031080202,13.20,1.64
Census tract,Tract 803,17031080300,14.30,1.51
Census tract,Tract 804,17031080400,19.70,2.14
Census tract,Tract 810,17031081000,16.00,1.76
Census tract,Tract 811,17031081100,14.60,1.55
Census tract,Tract 812.01,17031081201,11.30,1.18
Census tract,Tract 812.02,17031081202,9.60,0.97
Census tract,Tract 813,17031081300,10.80,1.22
Census tract,Tract 814.01,17031081401,11.80,1.22
Census tract,Tract 814.02,17031081402,12.00,1.26
Census tract,Tract 814.03,17031081403,13.10,1.43
Census tract,Tract 815,17031081500,12.30,1.13
Census tract,Tract 816,17031081600,12.50,1.30
Census tract,Tract 817,17031081700,13.70,1.51
Census tract,Tract 818,17031081800,13.90,1.55
Census tract,Tract 819,17031081900,13.20,1.38
Census tract,Tract 901,17031090100,13.40,1.43
Census tract,Tract 902,17031090200,13.50,1.30
Census tract,Tract 903,17031090300,13.10,1.51
Census tract,Tract 1001,17031100100,13.90,1.47
Census tract,Tract 1002,17031100200,13.80,1.51
Census tract,Tract 1003,17031100300,13.00,1.47
Census tract,Tract 1004,17031100400,13.50,1.51
Census tract,Tract 1005,17031100500,12.90,1.34
Census tract,Tract 1006,17031100600,14.60,1.47
Census tract,Tract 1007,17031100700,14.00,1.47
Census tract,Tract 1101,17031110100,13.50,1.30
Census tract,Tract 1102,17031110200,15.30,1.55
Census tract,Tract 1103,17031110300,13.70,1.34
Census tract,Tract 1104,17031110400,13.50,1.43
Census tract,Tract 1105.01,17031110501,14.20,1.43
Census tract,Tract 1105.02,17031110502,14.20,1.43
Census tract,Tract 1201,17031120100,12.10,1.38
Census tract,Tract 1202,17031120200,11.50,1.34
Census tract,Tract 1203,17031120300,11.90,1.30
Census tract,Tract 1204,17031120400,13.60,1.34
Census tract,Tract 1301,17031130100,11.90,1.09
Census tract,Tract 1302,17031130200,12.50,1.22
Census tract,Tract 1303,17031130300,13.60,1.30
Census tract,Tract 1401,17031140100,15.90,1.64
Census tract,Tract 1402,17031140200,17.20,1.80
Census tract,Tract 1403.01,17031140301,18.20,1.64
Census tract,Tract 1403.02,17031140302,14.60,1.38
Census tract,Tract 1404,17031140400,13.40,1.26
Census tract,Tract 1405,17031140500,15.00,1.43
Census tract,Tract 1406.01,17031140601,14.70,1.47
Census tract,Tract 1406.02,17031140602,16.40,1.64
Census tract,Tract 1407.01,17031140701,15.60,1.64
Census tract,Tract 1407.02,17031140702,15.60,1.59
Census tract,Tract 1408,17031140800,13.60,1.38
Census tract,Tract 1502,17031150200,15.10,1.43
Census tract,Tract 1503,17031150300,14.20,1.30
Census tract,Tract 1504.01,17031150401,15.00,1.51
Census tract,Tract 1504.02,17031150402,15.20,1.55
Census tract,Tract 1505.01,17031150501,12.80,1.22
Census tract,Tract 1505.02,17031150502,14.90,1.47
Census tract,Tract 1506,17031150600,14.30,1.43
Census tract,Tract 1507,17031150700,13.30,1.34
Census tract,Tract 1508,17031150800,15.30,1.43
Census tract,Tract 1510.01,17031151001,15.30,1.68
Census tract,Tract 1510.02,17031151002,15.70,1.55
Census tract,Tract 1511,17031151100,15.20,1.47
Census tract,Tract 1512,17031151200,14.40,1.43
Census tract,Tract 1601,17031160100,14.60,1.55
Census tract,Tract 1602,17031160200,13.20,1.26
Census tract,Tract 1603,17031160300,14.70,1.51
Census tract,Tract 1604,17031160400,15.70,1.47
Census tract,Tract 1605.01,17031160501,15.80,1.64
Census tract,Tract 1605.02,17031160502,15.40,1.64
Census tract,Tract 1606.01,17031160601,13.80,1.47
Census tract,Tract 1606.02,17031160602,14.60,1.59
Census tract,Tract 1607,17031160700,14.40,1.47
Census tract,Tract 1608,17031160800,16.60,1.68
Census tract,Tract 1609,17031160900,13.20,1.22
Census tract,Tract 1610,17031161000,13.30,1.43
Census tract,Tract 1611,17031161100,13.10,1.43
Census tract,Tract 1612,17031161200,14.50,1.59
Census tract,Tract 1613,17031161300,15.80,1.59
Census tract,Tract 1701,17031170100,14.60,1.34
Census tract,Tract 1702,17031170200,13.80,1.34
Census tract,Tract 1703,17031170300,14.60,1.38
Census tract,Tract 1704,17031170400,14.40,1.38
Census tract,Tract 1705,17031170500,15.00,1.38
Census tract,Tract 1706,17031170600,15.30,1.47
Census tract,Tract 1707,17031170700,15.90,1.51
Census tract,Tract 1708,17031170800,15.40,1.59
Census tract,Tract 1709,17031170900,16.90,1.51
Census tract,Tract 1710,17031171000,14.10,1.30
Census tract,Tract 1711,17031171100,16.10,1.47
Census tract,Tract 1801,17031180100,14.90,1.34
Census tract,Tract 1901,17031190100,16.00,1.68
Census tract,Tract 1902,17031190200,15.60,1.64
Census tract,Tract 1903,17031190300,15.30,1.51
Census tract,Tract 1904.01,17031190401,14.40,1.47
Census tract,Tract 1904.02,17031190402,16.10,1.55
Census tract,Tract 1906.01,17031190601,15.90,1.55
Census tract,Tract 1906.02,17031190602,14.90,1.55
Census tract,Tract 1907.01,17031190701,15.00,1.64
Census tract,Tract 1907.02,17031190702,17.70,1.89
Census tract,Tract 1908,17031190800,16.40,1.68
Census tract,Tract 1909,17031190900,13.60,1.55
Census tract,Tract 1910,17031191000,15.80,1.64
Census tract,Tract 1911,17031191100,17.90,1.93
Census tract,Tract 1912,17031191200,18.20,1.89
Census tract,Tract 1913.01,17031191301,16.50,1.55
Census tract,Tract 1913.02,17031191302,17.60,1.72
Census tract,Tract 2001,17031200100,15.20,1.55
Census tract,Tract 2002,17031200200,16.30,1.80
Census tract,Tract 2003,17031200300,15.40,1.72
Census tract,Tract 2004.01,17031200401,16.20,1.72
Census tract,Tract 2004.02,17031200402,15.80,1.85
Census tract,Tract 2101,17031210100,14.30,1.64
Census tract,Tract 2104,17031210400,17.90,1.72
Census tract,Tract 2105.01,17031210501,17.70,1.85
Census tract,Tract 2105.02,17031210502,16.80,1.72
Census tract,Tract 2106.01,17031210601,15.30,1.80
Census tract,Tract 2106.02,17031210602,16.00,1.68
Census tract,Tract 2107,17031210700,14.50,1.59
Census tract,Tract 2108,17031210800,15.40,1.72
Census tract,Tract 2109,17031210900,14.40,1.47
Census tract,Tract 2203,17031220300,14.50,1.80
Census tract,Tract 2204,17031220400,14.20,1.80
Census tract,Tract 2205,17031220500,14.70,1.76
Census tract,Tract 2206.01,17031220601,13.50,1.64
Census tract,Tract 2206.02,17031220602,15.40,1.85
Census tract,Tract 2207.01,17031220701,15.30,1.68
Census tract,Tract 2207.02,17031220702,17.10,1.85
Census tract,Tract 2209.01,17031220901,16.30,1.72
Census tract,Tract 2209.02,17031220902,16.50,1.72
Census tract,Tract 2210,17031221000,17.20,1.72
Census tract,Tract 2211,17031221100,15.40,1.85
Census tract,Tract 2212,17031221200,15.80,1.93
Census tract,Tract 2213,17031221300,16.60,2.22
Census tract,Tract 2214,17031221400,15.20,1.89
Census tract,Tract 2215,17031221500,15.10,1.72
Census tract,Tract 2216,17031221600,14.30,1.80
Census tract,Tract 2222,17031222200,13.40,1.55
Census tract,Tract 2225,17031222500,14.30,1.68
Census tract,Tract 2226,17031222600,15.80,2.10
Census tract,Tract 2227,17031222700,17.30,1.85
Census tract,Tract 2228,17031222800,18.50,1.76
Census tract,Tract 2229,17031222900,15.10,1.55
Census tract,Tract 2301,17031230100,15.80,1.89
Census tract,Tract 2302,17031230200,15.40,1.72
Census tract,Tract 2303,17031230300,17.30,1.85
Census tract,Tract 2304,17031230400,15.40,1.76
Census tract,Tract 2305,17031230500,17.10,1.93
Census tract,Tract 2306,17031230600,19.10,1.72
Census tract,Tract 2307,17031230700,19.30,1.68
Census tract,Tract 2308,17031230800,15.30,1.64
Census tract,Tract 2309,17031230900,16.00,1.72
Census tract,Tract 2311,17031231100,18.40,1.51
Census tract,Tract 2312,17031231200,20.70,1.59
Census tract,Tract 2315,17031231500,20.10,1.80
Census tract,Tract 2402,17031240200,14.30,1.85
Census tract,Tract 2403,17031240300,13.90,1.68
Census tract,Tract 2405,17031240500,14.00,1.76
Census tract,Tract 2406,17031240600,15.00,1.89
Census tract,Tract 2407,17031240700,14.40,1.68
Census tract,Tract 2408,17031240800,14.70,1.76
Census tract,Tract 2409,17031240900,13.00,1.47
Census tract,Tract 2410,17031241000,15.50,1.68
Census tract,Tract 2411,17031241100,17.20,1.93
Census tract,Tract 2412,17031241200,14.40,1.76
Census tract,Tract 2413,17031241300,14.60,1.76
Census tract,Tract 2414,17031241400,14.10,1.64
Census tract,Tract 2415,17031241500,13.90,1.68
Census tract,Tract 2416,17031241600,16.30,1.93
Census tract,Tract 2420,17031242000,13.70,1.64
Census tract,Tract 2421,17031242100,14.90,1.93
Census tract,Tract 2422,17031242200,14.70,1.85
Census tract,Tract 2423,17031242300,15.50,2.06
Census tract,Tract 2424,17031242400,14.60,1.76
Census tract,Tract 2425,17031242500,15.60,1.85
Census tract,Tract 2426,17031242600,16.50,1.89
Census tract,Tract 2427,17031242700,16.20,1.80
Census tract,Tract 2428,17031242800,14.50,1.64
Census tract,Tract 2429,17031242900,14.50,1.76
Census tract,Tract 2430,17031243000,14.40,1.59
Census tract,Tract 2431,17031243100,14.30,1.59
Census tract,Tract 2432,17031243200,14.00,1.76
Census tract,Tract 2433,17031243300,15.10,2.01
Census tract,Tract 2434,17031243400,14.70,1.76
Census tract,Tract 2435,17031243500,14.10,1.68
Census tract,Tract 2502,17031250200,17.70,1.51
Census tract,Tract 2503,17031250300,18.50,1.68
Census tract,Tract 2504,17031250400,18.40,1.72
Census tract,Tract 2505,17031250500,13.30,1.18
Census tract,Tract 2506,17031250600,16.90,1.64
Census tract,Tract 2507,17031250700,19.90,1.80
Census tract,Tract 2508,17031250800,18.30,1.68
Census tract,Tract 2510,17031251000,20.60,1.76
Census tract,Tract 2511,17031251100,19.70,1.89
Census tract,Tract 2512,17031251200,17.80,1.64
Census tract,Tract 2513,17031251300,18.60,1.80
Census tract,Tract 2514,17031251400,19.70,1.72
Census tract,Tract 2515,17031251500,19.60,1.80
Census tract,Tract 2516,17031251600,20.90,1.93
Census tract,Tract 2517,17031251700,18.70,1.64
Census tract,Tract 2518,17031251800,22.70,1.93
Census tract,Tract 2519,17031251900,23.40,2.01
Census tract,Tract 2520,17031252000,20.80,1.93
Census tract,Tract 2521.01,17031252101,17.90,1.80
Census tract,Tract 2521.02,17031252102,20.60,1.89
Census tract,Tract 2522.01,17031252201,18.30,1.80
Census tract,Tract 2522.02,17031252202,20.20,1.80
Census tract,Tract 2601,17031260100,19.40,1.85
Census tract,Tract 2602,17031260200,20.90,1.80
Census tract,Tract 2603,17031260300,20.90,1.85
Census tract,Tract 2604,17031260400,24.40,2.06
Census tract,Tract 2605,17031260500,21.50,1.93
Census tract,Tract 2606,17031260600,23.10,2.14
Census tract,Tract 2607,17031260700,21.40,2.06
Census tract,Tract 2608,17031260800,22.40,1.80
Census tract,Tract 2609,17031260900,23.00,2.18
Census tract,Tract 2610,17031261000,20.70,1.97
Census tract,Tract 2705,17031270500,24.40,2.48
Census tract,Tract 2712,17031271200,20.50,2.22
Census tract,Tract 2713,17031271300,21.40,2.31
Census tract,Tract 2714,17031271400,20.50,2.18
Census tract,Tract 2715,17031271500,18.90,2.01
Census tract,Tract 2718,17031271800,18.40,1.72
Census tract,Tract 2801,17031280100,13.10,1.26
Census tract,Tract 2804,17031280400,20.40,2.06
Census tract,Tract 2808,17031280800,20.10,2.22
Census tract,Tract 2809,17031280900,18.70,2.18
Census tract,Tract 2819,17031281900,13.10,1.43
Census tract,Tract 2827,17031282700,15.80,1.68
Census tract,Tract 2828,17031282800,16.60,1.72
Census tract,Tract 2831,17031283100,16.70,1.85
Census tract,Tract 2832,17031283200,15.40,1.55
Census tract,Tract 2838,17031283800,16.90,1.68
Census tract,Tract 2909,17031290900,22.50,1.93
Census tract,Tract 2912,17031291200,23.00,2.27
Census tract,Tract 2916,17031291600,17.00,1.76
Census tract,Tract 2922,17031292200,21.20,1.97
Census tract,Tract 2924,17031292400,20.90,2.06
Census tract,Tract 2925,17031292500,18.40,1.93
Census tract,Tract 3005,17031300500,17.00,1.72
Census tract,Tract 3006,17031300600,19.10,1.85
Census tract,Tract 3007,17031300700,16.70,1.76
Census tract,Tract 3008,17031300800,19.10,1.89
Census tract,Tract 3009,17031300900,18.00,1.80
Census tract,Tract 3011,17031301100,18.60,1.85
Census tract,Tract 3012,17031301200,17.40,1.68
Census tract,Tract 3016,17031301600,18.00,1.80
Census tract,Tract 3017.01,17031301701,16.00,1.68
Census tract,Tract 3017.02,17031301702,18.50,1.89
Census tract,Tract 3018.01,17031301801,16.10,1.68
Census tract,Tract 3018.02,17031301802,17.10,1.97
Census tract,Tract 3018.03,17031301803,16.20,1.76
Census tract,Tract 3102,17031310200,13.60,1.34
Census tract,Tract 3103,17031310300,16.20,1.68
Census tract,Tract 3104,17031310400,16.20,1.85
Census tract,Tract 3105,17031310500,18.20,1.85
Census tract,Tract 3106,17031310600,15.60,1.76
Census tract,Tract 3107,17031310700,16.10,1.80
Census tract,Tract 3108,17031310800,16.10,1.89
Census tract,Tract 3109,17031310900,16.70,1.85
Census tract,Tract 3201.01,17031320101,11.60,1.30
Census tract,Tract 3201.02,17031320102,14.20,1.55
Census tract,Tract 3204,17031320400,17.90,2.14
