Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 704,17031070400,21.10,2.90
Census tract,Tract 705,17031070500,20.10,2.43
Census tract,Tract 706,17031070600,19.50,2.14
Census tract,Tract 707,17031070700,22.10,2.48
Census tract,Tract 710,17031071000,23.80,3.19
Census tract,Tract 711,17031071100,20.40,2.43
Census tract,Tract 712,17031071200,20.10,2.52
Census tract,Tract 713,17031071300,19.00,2.14
Census tract,Tract 714,17031071400,19.90,2.35
Census tract,Tract 715,17031071500,18.80,2.01
Census tract,Tract 716,17031071600,19.90,2.31
Census tract,Tract 717,17031071700,19.70,1.93
Census tract,Tract 718,17031071800,20.30,2.14
Census tract,Tract 801,17031080100,17.60,2.01
Census tract,Tract 802.01,17031080201,18.50,2.22
Census tract,Tract 802.02,17031080202,18.90,2.22
Census tract,Tract 803,17031080300,20.00,2.10
Census tract,Tract 804,17031080400,28.80,3.02
Census tract,Tract 810,17031081000,23.00,2.43
Census tract,Tract 811,17031081100,20.70,2.22
Census tract,Tract 812.01,17031081201,18.40,1.89
Census tract,Tract 812.02,17031081202,16.30,1.72
Census tract,Tract 813,17031081300,18.60,2.06
Census tract,Tract 814.01,17031081401,19.80,1.97
Census tract,Tract 814.02,17031081402,20.40,2.06
Census tract,Tract 814.03,17031081403,21.20,2.18
Census tract,Tract 815,17031081500,19.90,1.93
Census tract,Tract 816,17031081600,20.10,2.14
Census tract,Tract 817,17031081700,20.60,2.31
Census tract,Tract 818,17031081800,20.10,2.18
Census tract,Tract 819,17031081900,21.70,2.22
Census tract,Tract 901,17031090100,20.90,2.35
Census tract,Tract 902,17031090200,20.70,2.14
Census tract,Tract 903,17031090300,20.20,2.48
Census tract,Tract 1001,17031100100,22.60,2.52
Census tract,Tract 1002,17031100200,22.90,2.60
Census tract,Tract 1003,17031100300,21.70,2.60
Census tract,Tract 1004,17031100400,21.80,2.56
Census tract,Tract 1005,17031100500,22.80,2.39
Census tract,Tract 1006,17031100600,24.10,2.48
Census tract,Tract 1007,17031100700,23.80,2.56
Census tract,Tract 1101,17031110100,23.00,2.48
Census tract,Tract 1102,17031110200,25.50,2.56
Census tract,Tract 1103,17031110300,24.30,2.43
Census tract,Tract 1104,17031110400,24.10,2.52
Census tract,Tract 1105.01,17031110501,24.70,2.52
Census tract,Tract 1105.02,17031110502,25.10,2.56
Census tract,Tract 1201,17031120100,19.60,2.22
Census tract,Tract 1202,17031120200,20.80,2.39
Census tract,Tract 1203,17031120300,22.00,2.27
Census tract,Tract 1204,17031120400,25.30,2.35
Census tract,Tract 1301,17031130100,24.70,2.35
Census tract,Tract 1302,17031130200,23.80,2.35
Census tract,Tract 1303,17031130300,27.60,2.64
Census tract,Tract 1401,17031140100,28.10,3.02
