Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 6108,17031610800,26.70,2.69
Census tract,Tract 6112,17031611200,32.00,3.11
Census tract,Tract 6113,17031611300,32.50,3.02
Census tract,Tract 6114,17031611400,32.30,3.40
Census tract,Tract 6115,17031611500,32.80,3.32
Census tract,Tract 6116,17031611600,34.40,3.02
Census tract,Tract 6117,17031611700,35.10,3.11
Census tract,Tract 6118,17031611800,35.90,3.06
Census tract,Tract 6119,17031611900,37.00,3.36
Census tract,Tract 6120,17031612000,34.50,3.40
Census tract,Tract 6121,17031612100,36.60,3.44
Census tract,Tract 6122,17031612200,34.80,2.98
Census tract,Tract 6201,17031620100,30.70,3.11
Census tract,Tract 6202,17031620200,29.50,3.06
Census tract,Tract 6203,17031620300,29.30,3.15
Census tract,Tract 6204,17031620400,30.80,3.32
Census tract,Tract 6303,17031630300,32.40,3.57
Census tract,Tract 6304,17031630400,32.50,3.40
Census tract,Tract 6305,17031630500,31.40,3.73
Census tract,Tract 6306,17031630600,31.70,2.85
Census tract,Tract 6308,17031630800,31.40,3.40
Census tract,Tract 6309,17031630900,30.90,3.19
Census tract,Tract 6401,17031640100,29.60,3.15
Census tract,Tract 6403,17031640300,26.80,2.48
Census tract,Tract 6404,17031640400,26.40,2.69
Census tract,Tract 6405,17031640500,26.70,2.60
Census tract,Tract 6406,17031640600,25.50,2.43
Census tract,Tract 6407,17031640700,27.40,2.90
Census tract,Tract 6408,17031640800,29.10,3.15
Census tract,Tract 6501,17031650100,30.20,3.32
Census tract,Tract 6502,17031650200,28.10,3.15
Census tract,Tract 6503.01,17031650301,29.80,2.98
Census tract,Tract 6503.02,17031650302,30.80,3.19
Census tract,Tract 6504,17031650400,30.60,3.57
Census tract,Tract 6505,17031650500,31.50,2.94
Census tract,Tract 6603.01,17031660301,33.20,2.98
Census tract,Tract 6603.02,17031660302,33.90,3.15
Census tract,Tract 6604,17031660400,32.60,3.23
Census tract,Tract 6605,17031660500,31.90,2.77
Census tract,Tract 6606,17031660600,34.40,2.90
Census tract,Tract 6607,17031660700,36.20,3.32
Census tract,Tract 6608,17031660800,34.70,3.11
Census tract,Tract 6609,17031660900,36.10,3.15
Census tract,Tract 6610,17031661000,34.90,2.73
Census tract,Tract 6611,17031661100,33.30,2.77
Census tract,Tract 6701,17031670100,38.80,3.32
Census tract,Tract 6702,17031670200,36.80,3.78
Census tract,Tract 6703,17031670300,35.60,3.11
Census tract,Tract 6704,17031670400,36.10,3.11
Census tract,Tract 6705,17031670500,37.30,3.23
Census tract,Tract 6706,17031670600,37.90,3.32
Census tract,Tract 6707,17031670700,38.70,3.44
Census tract,Tract 6708,17031670800,39.40,3.48
Census tract,Tract 6709,17031670900,35.80,3.44
Census tract,Tract 6711,17031671100,38.30,3.27
Census tract,Tract 6712,17031671200,37.60,3.53
Census tract,Tract 6713,17031671300,37.40,3.40
Census tract,Tract 6714,17031671400,37.80,3.06
Census tract,Tract 6715,17031671500,36.60,3.27
Census tract,Tract 6716,17031671600,36.70,3.11
Census tract,Tract 6718,17031671800,36.80,3.44
Census tract,Tract 6719,17031671900,37.40,3.19
Census tract,Tract 6720,17031672000,37.30,3.48
Census tract,Tract 6805,17031680500,37.60,3.23
Census tract,Tract 6806,17031680600,37.60,3.15
Census tract,Tract 6809,17031680900,38.60,3.69
Census tract,Tract 6810,17031681000,37.40,3.36
Census tract,Tract 6811,17031681100,36.90,3.36
Census tract,Tract 6812,17031681200,38.70,3.61
Census tract,Tract 6813,17031681300,38.40,3.36
Census tract,Tract 6814,17031681400,36.70,3.27
Census tract,Tract 6903,17031690300,35.80,3.48
Census tract,Tract 6904,17031690400,36.30,3.65
Census tract,Tract 6905,17031690500,38.80,3.32
Census tract,Tract 6909,17031690900,35.90,3.48
Census tract,Tract 6910,17031691000,32.60,3.48
Census tract,Tract 6911,17031691100,37.60,3.27
Census tract,Tract 6912,17031691200,35.90,3.32
Census tract,Tract 6913,17031691300,33.10,3.44
Census tract,Tract 6914,17031691400,35.80,3.32
Census tract,Tract 6915,17031691500,36.90,3.44
Census tract,Tract 7001,17031700100,33.60,2.94
Census tract,Tract 7002,17031700200,30.40,2.85
Census tract,Tract 7003.01,17031700301,30.80,3.06
Census tract,Tract 7003.02,17031700302,30.10,2.81
Census tract,Tract 7004.01,17031700401,32.80,3.06
Census tract,Tract 7004.02,17031700402,32.10,3.02
Census tract,Tract 7005.01,17031700501,33.60,3.15
Census tract,Tract 7005.02,17031700502,31.80,3.23
Census tract,Tract 7101,17031710100,35.20,3.40
Census tract,Tract 7102,17031710200,38.70,3.32
Census tract,Tract 7103,17031710300,37.20,3.27
Census tract,Tract 7104,17031710400,35.10,3.40
Census tract,Tract 7105,17031710500,36.40,3.69
Census tract,Tract 7106,17031710600,37.50,3.78
Census tract,Tract 7107,17031710700,36.50,3.44
Census tract,Tract 7108,17031710800,35.90,3.23
Census tract,Tract 7109,17031710900,35.00,3.44
Census tract,Tract 7110,17031711000,37.30,3.23
Census tract,Tract 7111,17031711100,33.10,3.32
Census tract,Tract 7112,17031711200,34.90,3.44
Census tract,Tract 7113,17031711300,36.00,3.27
Census tract,Tract 7114,17031711400,34.60,3.27
Census tract,Tract 7115,17031711500,36.90,3.40
Census tract,Tract 7201,17031720100,22.90,2.31
Census tract,Tract 7202,17031720200,26.70,2.56
Census tract,Tract 7203,17031720300,21.70,2.27
Census tract,Tract 7204,17031720400,22.20,2.69
Census tract,Tract 7205,17031720500,20.60,2.52
Census tract,Tract 7206,17031720600,20.30,2.31
Census tract,Tract 7207,17031720700,27.50,2.77
Census tract,Tract 7301,17031730100,34.40,3.36
Census tract,Tract 7302.01,17031730201,34.80,3.44
Census tract,Tract 7302.02,17031730202,33.20,3.32
Census tract,Tract 7303,17031730300,34.80,3.36
Census tract,Tract 7304,17031730400,34.40,3.27
Census tract,Tract 7305,17031730500,33.10,3.36
Census tract,Tract 7306,17031730600,32.40,3.36
Census tract,Tract 7307,17031730700,34.60,3.57
Census tract,Tract 7401,17031740100,22.90,2.64
Census tract,Tract 7402,17031740200,22.10,2.43
Census tract,Tract 7403,17031740300,21.50,2.56
Census tract,Tract 7404,17031740400,24.80,2.52
Census tract,Tract 7501,17031750100,31.60,3.40
Census tract,Tract 7502,17031750200,27.20,2.48
Census tract,Tract 7503,17031750300,20.80,2.35
Census tract,Tract 7504,17031750400,23.80,2.27
Census tract,Tract 7505,17031750500,30.10,2.98
Census tract,Tract 7506,17031750600,35.10,3.61
Census tract,Tract 7608.01,17031760801,26.70,2.77
Census tract,Tract 7608.02,17031760802,23.10,2.64
Census tract,Tract 7608.03,17031760803,24.90,2.64
Census tract,Tract 7705,17031770500,33.10,3.19
Census tract,Tract 7706.02,17031770602,30.10,2.48
Census tract,Tract 7707,17031770700,25.10,2.35
Census tract,Tract 7708,17031770800,25.80,2.60
Census tract,Tract 7709.01,17031770901,24.50,2.39
Census tract,Tract 7709.02,17031770902,23.90,2.43
Census tract,Tract 8104,17031810400,21.00,2.27
Census tract,Tract 8105.01,17031810501,23.50,2.73
Census tract,Tract 8105.02,17031810502,25.50,2.64
Census tract,Tract 8106,17031810600,25.50,2.77
Census tract,Tract 8233.04,17031823304,28.70,2.43
Census tract,Tract 8305,17031830500,31.70,3.40
Census tract,Tract 8306,17031830600,27.30,2.73
Census tract,Tract 8307,17031830700,26.30,2.52
Census tract,Tract 8308,17031830800,21.50,2.39
Census tract,Tract 8309,17031830900,22.90,2.31
Census tract,Tract 8310,17031831000,20.20,2.31
Census tract,Tract 8311,17031831100,25.90,2.73
Census tract,Tract 8312,17031831200,31.00,3.23
Census tract,Tract 8313,17031831300,36.10,2.85
Census tract,Tract 8314,17031831400,34.20,3.19
Census tract,Tract 8315,17031831500,30.30,2.64
Census tract,Tract 8316,17031831600,30.30,2.94
Census tract,Tract 8317,17031831700,26.70,2.60
Census tract,Tract 8318,17031831800,27.00,2.43
Census tract,Tract 8319,17031831900,20.70,2.60
Census tract,Tract 8320,17031832000,20.70,2.43
Census tract,Tract 8321,17031832100,23.40,2.94
Census tract,Tract 8322,17031832200,20.40,2.48
Census tract,Tract 8323,17031832300,21.20,2.18
Census tract,Tract 8324,17031832400,23.20,2.98
Census tract,Tract 8325,17031832500,21.10,2.43
Census tract,Tract 8326,17031832600,19.60,2.27
Census tract,Tract 8329,17031832900,26.40,2.90
Census tract,Tract 8330,17031833000,21.60,2.31
Census tract,Tract 8331,17031833100,21.30,2.39
Census tract,Tract 8333,17031833300,25.30,2.81
Census tract,Tract 8339,17031833900,35.00,3.06
Census tract,Tract 8340,17031834000,36.60,3.57
Census tract,Tract 8342,17031834200,34.60,3.11
Census tract,Tract 8343,17031834300,32.30,3.19
Census tract,Tract 8344,17031834400,32.60,3.19
Census tract,Tract 8345,17031834500,37.40,3.44
Census tract,Tract 8346,17031834600,38.40,3.36
Census tract,Tract 8347,17031834700,37.90,3.73
Census tract,Tract 8348,17031834800,37.20,3.44
Census tract,Tract 8349,17031834900,40.00,3.27
Census tract,Tract 8350,17031835000,35.40,2.81
Census tract,Tract 8351,17031835100,32.00,3.02
Census tract,Tract 8352,17031835200,27.70,2.69
Census tract,Tract 8355,17031835500,35.50,3.27
Census tract,Tract 8356,17031835600,38.90,3.44
Census tract,Tract 8358,17031835800,32.60,3.40
Census tract,Tract 8360,17031836000,31.90,3.06
Census tract,Tract 8361,17031836100,35.30,3.73
Census tract,Tract 8362,17031836200,30.00,3.23
Census tract,Tract 8363,17031836300,27.30,2.73
Census tract,Tract 8364,17031836400,31.70,3.61
Census tract,Tract 8365,17031836500,35.60,3.73
Census tract,Tract 8366,17031836600,28.90,2.60
Census tract,Tract 8367,17031836700,36.00,2.98
Census tract,Tract 8368,17031836800,37.90,3.53
Census tract,Tract 8369,17031836900,34.10,3.23
Census tract,Tract 8370,17031837000,32.80,3.36
Census tract,Tract 8371,17031837100,32.10,3.06
Census tract,Tract 8373,17031837300,37.70,3.02
Census tract,Tract 8374,17031837400,34.50,3.57
Census tract,Tract 8378,17031837800,30.10,2.94
Census tract,Tract 8380,17031838000,31.80,3.11
Census tract,Tract 8381,17031838100,28.00,3.02
Census tract,Tract 8382,17031838200,30.00,3.53
Census tract,Tract 8383,17031838300,24.00,2.77
Census tract,Tract 8386,17031838600,38.60,3.32
Census tract,Tract 8387,17031838700,39.40,3.73
Census tract,Tract 8388,17031838800,34.40,2.98
Census tract,Tract 8390,17031839000,23.30,2.43
Census tract,Tract 8391,17031839100,24.60,2.31
Census tract,Tract 8392,17031839200,29.90,2.64
Census tract,Tract 8395,17031839500,29.70,3.32
Census tract,Tract 8396,17031839600,33.30,3.61
Census tract,Tract 8397,17031839700,26.10,2.52
Census tract,Tract 8398,17031839800,27.30,2.73
Census tract,Tract 8399,17031839900,26.20,2.48
Census tract,Tract 8400,17031840000,29.20,2.64
Census tract,Tract 8401,17031840100,33.90,3.23
Census tract,Tract 8402,17031840200,35.40,3.06
Census tract,Tract 8403,17031840300,31.20,2.81
Census tract,Tract 8404,17031840400,31.60,2.94
Census tract,Tract 8407,17031840700,27.60,2.90
Census tract,Tract 8408,17031840800,32.30,3.44
Census tract,Tract 8410,17031841000,26.60,2.43
Census tract,Tract 8411,17031841100,38.60,3.90
Census tract,Tract 8412,17031841200,31.10,3.23
Census tract,Tract 8413,17031841300,26.10,3.11
Census tract,Tract 8415,17031841500,39.00,3.82
Census tract,Tract 8417,17031841700,31.20,2.85
Census tract,Tract 8418,17031841800,35.30,3.44
Census tract,Tract 8419,17031841900,29.20,2.98
Census tract,Tract 8420,17031842000,32.10,2.94
Census tract,Tract 8421,17031842100,33.50,2.90
Census tract,Tract 8422,17031842200,22.40,2.22
Census tract,Tract 8423,17031842300,21.80,2.27
Census tract,Tract 8424,17031842400,32.20,3.23
Census tract,Tract 8425,17031842500,39.70,4.03
Census tract,Tract 8426,17031842600,28.80,2.64
Census tract,Tract 8428,17031842800,31.40,3.36
Census tract,Tract 8429,17031842900,31.40,3.23
Census tract,Tract 8430,17031843000,37.50,3.44
Census tract,Tract 8431,17031843100,34.30,3.57
Census tract,Tract 8432,17031843200,26.60,2.90
Census tract,Tract 8433,17031843300,33.80,3.19
Census tract,Tract 8434,17031843400,35.70,3.06
Census tract,Tract 8435,17031843500,42.90,3.86
Census tract,Tract 8436,17031843600,31.10,3.02
Census tract,Tract 8437,17031843700,21.30,2.35
Census tract,Tract 8438,17031843800,32.10,2.85
Census tract,Tract 8439,17031843900,32.50,3.15
Census tract,Tract 8446,17031844600,35.20,3.32
Census tract,Tract 8447,17031844700,35.10,3.27
Census tract,Tract 8400,17043840000,29.40,3.48
Census tract,Tract 8408.01,17043840801,26.10,3.15
