Layer,Name,GEOID,HDX_2019-2023,HDX_2019-2023_moe
Census tract,Tract 814.01,17031081401,2.9,
Census tract,Tract 814.02,17031081402,0.6,
Census tract,Tract 814.03,17031081403,2.8,
Census tract,Tract 815,17031081500,0.1,
Census tract,Tract 816,17031081600,0.3,
Census tract,Tract 817,17031081700,0.6,
Census tract,Tract 818,17031081800,0.2,
Census tract,Tract 819,17031081900,0.1,
Census tract,Tract 901,17031090100,10.0,
Census tract,Tract 902,17031090200,6.0,
Census tract,Tract 903,17031090300,13.3,
Census tract,Tract 1001,17031100100,24.3,
Census tract,Tract 1002,17031100200,25.5,
Census tract,Tract 1003,17031100300,49.5,
Census tract,Tract 1004,17031100400,22.3,
Census tract,Tract 1005,17031100500,12.4,
Census tract,Tract 1006,17031100600,42.5,
Census tract,Tract 1007,17031100700,48.9,
Census tract,Tract 1101,17031110100,34.8,
Census tract,Tract 1102,17031110200,66.9,
Census tract,Tract 1103,17031110300,27.8,
Census tract,Tract 1104,17031110400,17.6,
Census tract,Tract 1105.01,17031110501,24.8,
Census tract,Tract 1105.02,17031110502,35.5,
Census tract,Tract 1201,17031120100,17.2,
Census tract,Tract 1202,17031120200,6.8,
Census tract,Tract 1203,17031120300,6.5,
Census tract,Tract 1204,17031120400,28.9,
Census tract,Tract 1301,17031130100,79.8,
Census tract,Tract 1302,17031130200,24.4,
Census tract,Tract 1303,17031130300,65.7,
Census tract,Tract 1401,17031140100,41.8,
Census tract,Tract 1402,17031140200,83.8,
Census tract,Tract 1403.01,17031140301,92.1,
Census tract,Tract 1403.02,17031140302,64.4,
Census tract,Tract 1404,17031140400,42.3,
Census tract,Tract 1405,17031140500,48.5,
Census tract,Tract 1406.01,17031140601,77.5,
Census tract,Tract 1406.02,17031140602,75.8,
Census tract,Tract 1407.01,17031140701,47.0,
Census tract,Tract 1407.02,17031140702,55.1,
Census tract,Tract 1408,17031140800,43.5,
Census tract,Tract 1502,17031150200,44.4,
Census tract,Tract 1503,17031150300,17.8,
Census tract,Tract 1504.01,17031150401,62.3,
Census tract,Tract 1504.02,17031150402,43.7,
Census tract,Tract 1505.01,17031150501,38.5,
Census tract,Tract 1505.02,17031150502,37.4,
Census tract,Tract 1506,17031150600,40.9,
Census tract,Tract 1507,17031150700,40.8,
Census tract,Tract 1508,17031150800,52.5,
Census tract,Tract 1510.01,17031151001,68.6,
Census tract,Tract 1510.02,17031151002,62.8,
Census tract,Tract 1511,17031151100,50.0,
Census tract,Tract 1512,17031151200,45.3,
Census tract,Tract 1601,17031160100,27.7,
Census tract,Tract 1602,17031160200,16.8,
Census tract,Tract 1603,17031160300,62.2,
Census tract,Tract 1604,17031160400,50.3,
Census tract,Tract 1605.01,17031160501,72.5,
Census tract,Tract 1605.02,17031160502,53.4,
Census tract,Tract 1606.01,17031160601,20.3,
Census tract,Tract 1606.02,17031160602,19.6,
Census tract,Tract 1607,17031160700,57.9,
Census tract,Tract 1608,17031160800,70.9,
Census tract,Tract 1609,17031160900,14.4,
Census tract,Tract 1610,17031161000,10.5,
Census tract,Tract 1611,17031161100,6.2,
Census tract,Tract 1612,17031161200,63.8,
Census tract,Tract 1613,17031161300,66.3,
Census tract,Tract 1701,17031170100,63.7,
Census tract,Tract 1702,17031170200,47.4,
Census tract,Tract 1703,17031170300,34.8,
Census tract,Tract 1704,17031170400,40.5,
Census tract,Tract 1705,17031170500,28.4,
Census tract,Tract 1706,17031170600,56.6,
Census tract,Tract 1707,17031170700,54.7,
Census tract,Tract 1708,17031170800,50.4,
Census tract,Tract 1709,17031170900,91.1,
Census tract,Tract 1710,17031171000,31.5,
Census tract,Tract 1711,17031171100,60.8,
Census tract,Tract 1801,17031180100,46.8,
Census tract,Tract 1901,17031190100,80.7,
Census tract,Tract 1902,17031190200,78.5,
Census tract,Tract 1903,17031190300,70.7,
Census tract,Tract 1904.01,17031190401,49.3,
Census tract,Tract 1904.02,17031190402,79.6,
Census tract,Tract 1906.01,17031190601,93.1,
Census tract,Tract 1906.02,17031190602,83.7,
Census tract,Tract 1907.01,17031190701,61.8,
Census tract,Tract 1907.02,17031190702,97.0,
Census tract,Tract 1908,17031190800,83.9,
Census tract,Tract 1909,17031190900,73.6,
Census tract,Tract 1910,17031191000,87.4,
Census tract,Tract 1911,17031191100,94.3,
Census tract,Tract 1912,17031191200,93.9,
Census tract,Tract 1913.01,17031191301,81.3,
Census tract,Tract 1913.02,17031191302,92.5,
Census tract,Tract 2001,17031200100,85.5,
Census tract,Tract 2002,17031200200,81.1,
Census tract,Tract 2003,17031200300,73.5,
Census tract,Tract 2004.01,17031200401,88.8,
Census tract,Tract 2004.02,17031200402,78.4,
Census tract,Tract 2101,17031210100,6.0,
Census tract,Tract 2104,17031210400,83.1,
Census tract,Tract 2105.01,17031210501,63.3,
Census tract,Tract 2105.02,17031210502,50.2,
Census tract,Tract 2106.01,17031210601,57.4,
Census tract,Tract 2106.02,17031210602,51.2,
Census tract,Tract 2107,17031210700,12.2,
Census tract,Tract 2108,17031210800,46.2,
Census tract,Tract 2109,17031210900,18.4,
Census tract,Tract 2203,17031220300,9.8,
Census tract,Tract 2204,17031220400,5.1,
Census tract,Tract 2205,17031220500,10.3,
Census tract,Tract 2206.01,17031220601,3.0,
Census tract,Tract 2206.02,17031220602,25.7,
Census tract,Tract 2207.01,17031220701,37.1,
Census tract,Tract 2207.02,17031220702,37.4,
Census tract,Tract 2209.01,17031220901,66.7,
Census tract,Tract 2209.02,17031220902,56.6,
Census tract,Tract 2210,17031221000,39.7,
Census tract,Tract 2211,17031221100,15.7,
Census tract,Tract 2212,17031221200,10.9,
Census tract,Tract 2213,17031221300,24.0,
Census tract,Tract 2214,17031221400,3.2,
Census tract,Tract 2215,17031221500,20.3,
Census tract,Tract 2216,17031221600,3.6,
Census tract,Tract 2222,17031222200,0.4,
Census tract,Tract 2225,17031222500,3.4,
Census tract,Tract 2226,17031222600,20.3,
Census tract,Tract 2227,17031222700,46.8,
Census tract,Tract 2228,17031222800,68.4,
Census tract,Tract 2229,17031222900,33.8,
Census tract,Tract 2301,17031230100,47.7,
Census tract,Tract 2302,17031230200,29.8,
Census tract,Tract 2303,17031230300,81.1,
Census tract,Tract 2304,17031230400,71.9,
Census tract,Tract 2305,17031230500,84.3,
Census tract,Tract 2306,17031230600,94.4,
Census tract,Tract 2307,17031230700,97.7,
Census tract,Tract 2308,17031230800,59.5,
Census tract,Tract 2309,17031230900,59.1,
Census tract,Tract 2311,17031231100,88.5,
Census tract,Tract 2312,17031231200,96.2,
Census tract,Tract 2315,17031231500,93.7,
Census tract,Tract 2402,17031240200,2.3,
Census tract,Tract 2403,17031240300,0.2,
Census tract,Tract 2405,17031240500,0.3,
Census tract,Tract 2406,17031240600,4.8,
Census tract,Tract 2407,17031240700,8.6,
Census tract,Tract 2408,17031240800,8.8,
Census tract,Tract 2409,17031240900,17.0,
Census tract,Tract 2410,17031241000,18.9,
Census tract,Tract 2411,17031241100,18.6,
Census tract,Tract 2412,17031241200,2.3,
Census tract,Tract 2413,17031241300,1.3,
Census tract,Tract 2414,17031241400,0.9,
Census tract,Tract 2415,17031241500,0.4,
Census tract,Tract 2416,17031241600,2.6,
Census tract,Tract 2420,17031242000,5.4,
Census tract,Tract 2421,17031242100,0.6,
Census tract,Tract 2422,17031242200,0.6,
Census tract,Tract 2423,17031242300,5.3,
Census tract,Tract 2424,17031242400,3.9,
Census tract,Tract 2425,17031242500,23.8,
Census tract,Tract 2426,17031242600,41.2,
Census tract,Tract 2427,17031242700,33.0,
Census tract,Tract 2428,17031242800,2.5,
Census tract,Tract 2429,17031242900,12.5,
Census tract,Tract 2430,17031243000,3.2,
Census tract,Tract 2431,17031243100,2.8,
Census tract,Tract 2432,17031243200,3.1,
Census tract,Tract 2433,17031243300,1.1,
Census tract,Tract 2434,17031243400,14.2,
Census tract,Tract 2435,17031243500,0.5,
Census tract,Tract 2502,17031250200,85.5,
Census tract,Tract 2503,17031250300,85.6,
Census tract,Tract 2504,17031250400,76.1,
Census tract,Tract 2505,17031250500,34.2,
Census tract,Tract 2506,17031250600,74.5,
Census tract,Tract 2507,17031250700,92.5,
Census tract,Tract 2508,17031250800,78.7,
Census tract,Tract 2510,17031251000,97.9,
Census tract,Tract 2511,17031251100,94.7,
Census tract,Tract 2512,17031251200,74.2,
Census tract,Tract 2513,17031251300,83.9,
Census tract,Tract 2514,17031251400,94.7,
Census tract,Tract 2515,17031251500,94.5,
Census tract,Tract 2516,17031251600,94.5,
Census tract,Tract 2517,17031251700,78.0,
Census tract,Tract 2518,17031251800,93.3,
Census tract,Tract 2519,17031251900,91.9,
Census tract,Tract 2520,17031252000,97.3,
Census tract,Tract 2521.01,17031252101,79.8,
Census tract,Tract 2521.02,17031252102,86.9,
Census tract,Tract 2522.01,17031252201,96.8,
Census tract,Tract 2522.02,17031252202,91.9,
Census tract,Tract 2601,17031260100,95.1,
Census tract,Tract 2602,17031260200,81.5,
Census tract,Tract 2603,17031260300,99.3,
Census tract,Tract 2604,17031260400,99.9,
Census tract,Tract 2605,17031260500,87.9,
Census tract,Tract 2606,17031260600,99.3,
Census tract,Tract 2607,17031260700,94.9,
Census tract,Tract 2608,17031260800,97.4,
Census tract,Tract 2609,17031260900,94.8,
Census tract,Tract 2610,17031261000,79.4,
Census tract,Tract 2705,17031270500,99.1,
Census tract,Tract 2712,17031271200,95.3,
Census tract,Tract 2713,17031271300,86.2,
Census tract,Tract 2714,17031271400,95.3,
Census tract,Tract 2715,17031271500,83.8,
Census tract,Tract 2718,17031271800,34.6,
Census tract,Tract 2801,17031280100,0.1,
Census tract,Tract 2804,17031280400,74.0,
Census tract,Tract 2808,17031280800,90.0,
Census tract,Tract 2809,17031280900,14.3,
Census tract,Tract 2819,17031281900,2.5,
Census tract,Tract 2827,17031282700,35.4,
Census tract,Tract 2828,17031282800,54.1,
Census tract,Tract 2831,17031283100,65.7,
Census tract,Tract 2832,17031283200,30.4,
Census tract,Tract 2838,17031283800,39.6,
Census tract,Tract 2909,17031290900,97.7,
Census tract,Tract 2912,17031291200,83.2,
Census tract,Tract 2916,17031291600,86.5,
Census tract,Tract 2922,17031292200,77.8,
Census tract,Tract 2924,17031292400,84.5,
Census tract,Tract 2925,17031292500,83.4,
Census tract,Tract 3005,17031300500,94.8,
Census tract,Tract 3006,17031300600,91.7,
Census tract,Tract 3007,17031300700,87.7,
Census tract,Tract 3008,17031300800,97.2,
Census tract,Tract 3009,17031300900,93.1,
Census tract,Tract 3011,17031301100,92.7,
Census tract,Tract 3012,17031301200,90.6,
Census tract,Tract 3016,17031301600,97.9,
Census tract,Tract 3017.01,17031301701,89.7,
Census tract,Tract 3017.02,17031301702,91.6,
Census tract,Tract 3018.01,17031301801,93.7,
Census tract,Tract 3018.02,17031301802,91.4,
Census tract,Tract 3018.03,17031301803,90.0,
Census tract,Tract 3102,17031310200,4.6,
Census tract,Tract 3103,17031310300,63.5,
Census tract,Tract 3104,17031310400,47.5,
Census tract,Tract 3105,17031310500,83.3,
Census tract,Tract 3106,17031310600,60.1,
Census tract,Tract 3107,17031310700,85.5,
Census tract,Tract 3108,17031310800,77.4,
Census tract,Tract 3109,17031310900,88.2,
Census tract,Tract 3201.01,17031320101,0.4,
Census tract,Tract 3201.02,17031320102,2.4,
Census tract,Tract 3204,17031320400,22.2,
Census tract,Tract 3206,17031320600,4.3,
Census tract,Tract 3301.01,17031330101,1.2,
Census tract,Tract 3301.02,17031330102,3.9,
Census tract,Tract 3301.03,17031330103,2.7,
Census tract,Tract 3302,17031330200,8.5,
Census tract,Tract 3403,17031340300,78.9,
Census tract,Tract 3404,17031340400,85.7,
Census tract,Tract 3405,17031340500,79.1,
Census tract,Tract 3406,17031340600,99.3,
Census tract,Tract 3501,17031350100,40.9,
Census tract,Tract 3504,17031350400,98.0,
Census tract,Tract 3510,17031351000,44.4,
Census tract,Tract 3511,17031351100,99.3,
Census tract,Tract 3514,17031351400,88.9,
Census tract,Tract 3515,17031351500,83.3,
Census tract,Tract 3602,17031360200,96.6,
Census tract,Tract 3801,17031380100,65.8,
Census tract,Tract 3802,17031380200,86.7,
Census tract,Tract 3806,17031380600,90.2,
Census tract,Tract 3812,17031381200,76.4,
Census tract,Tract 3814,17031381400,94.1,
Census tract,Tract 3815,17031381500,96.1,
Census tract,Tract 3817,17031381700,58.2,
Census tract,Tract 3818,17031381800,71.7,
Census tract,Tract 3819,17031381900,92.1,
Census tract,Tract 3901,17031390100,59.3,
Census tract,Tract 3902,17031390200,37.5,
Census tract,Tract 3903,17031390300,90.6,
Census tract,Tract 3904,17031390400,85.8,
Census tract,Tract 3905,17031390500,11.2,
Census tract,Tract 3906,17031390600,29.2,
Census tract,Tract 3907,17031390700,44.9,
Census tract,Tract 4003,17031400300,80.8,
Census tract,Tract 4004,17031400400,92.7,
Census tract,Tract 4005,17031400500,93.5,
Census tract,Tract 4008,17031400800,97.4,
Census tract,Tract 4101,17031410100,9.2,
Census tract,Tract 4102,17031410200,14.3,
Census tract,Tract 4105,17031410500,51.0,
Census tract,Tract 4106,17031410600,64.3,
Census tract,Tract 4107,17031410700,49.1,
Census tract,Tract 4108,17031410800,15.1,
Census tract,Tract 4109,17031410900,40.0,
Census tract,Tract 4110,17031411000,59.7,
Census tract,Tract 4111,17031411100,10.7,
Census tract,Tract 4112,17031411200,9.1,
Census tract,Tract 4201,17031420100,87.0,
Census tract,Tract 4202,17031420200,90.3,
Census tract,Tract 4203,17031420300,80.4,
Census tract,Tract 4204,17031420400,80.2,
Census tract,Tract 4205,17031420500,99.3,
Census tract,Tract 4206,17031420600,93.4,
Census tract,Tract 4207,17031420700,94.2,
Census tract,Tract 4208,17031420800,76.2,
Census tract,Tract 4212,17031421200,66.4,
Census tract,Tract 4301.01,17031430101,90.6,
Census tract,Tract 4301.02,17031430102,71.9,
Census tract,Tract 4302,17031430200,85.3,
Census tract,Tract 4303,17031430300,87.5,
Census tract,Tract 4304,17031430400,77.2,
Census tract,Tract 4305,17031430500,94.1,
Census tract,Tract 4306,17031430600,79.3,
Census tract,Tract 4307,17031430700,90.0,
Census tract,Tract 4308,17031430800,77.8,
Census tract,Tract 4309,17031430900,78.9,
Census tract,Tract 4312,17031431200,47.3,
Census tract,Tract 4313.01,17031431301,85.9,
Census tract,Tract 4313.02,17031431302,97.5,
Census tract,Tract 4314,17031431400,88.2,
Census tract,Tract 4401.01,17031440101,92.6,
Census tract,Tract 4401.02,17031440102,87.7,
Census tract,Tract 4402.01,17031440201,85.4,
Census tract,Tract 4402.02,17031440202,78.4,
Census tract,Tract 4403,17031440300,74.4,
Census tract,Tract 4406,17031440600,72.6,
Census tract,Tract 4407,17031440700,80.3,
Census tract,Tract 4408,17031440800,96.7,
Census tract,Tract 4409,17031440900,98.3,
Census tract,Tract 4503,17031450300,83.8,
Census tract,Tract 4601,17031460100,79.4,
Census tract,Tract 4602,17031460200,94.2,
Census tract,Tract 4603.01,17031460301,91.9,
Census tract,Tract 4603.02,17031460302,89.3,
Census tract,Tract 4604,17031460400,87.1,
Census tract,Tract 4605,17031460500,63.9,
Census tract,Tract 4608,17031460800,99.1,
Census tract,Tract 4610,17031461000,98.8,
Census tract,Tract 4701,17031470100,89.6,
Census tract,Tract 4801,17031480100,60.2,
Census tract,Tract 4802,17031480200,70.2,
Census tract,Tract 4803,17031480300,66.5,
Census tract,Tract 4804,17031480400,49.3,
Census tract,Tract 4805,17031480500,93.0,
Census tract,Tract 4902,17031490200,83.6,
Census tract,Tract 4905,17031490500,48.2,
Census tract,Tract 4906,17031490600,89.0,
Census tract,Tract 4907,17031490700,93.4,
Census tract,Tract 4908,17031490800,74.1,
Census tract,Tract 4909.01,17031490901,92.8,
Census tract,Tract 4909.02,17031490902,76.5,
Census tract,Tract 4910,17031491000,98.1,
Census tract,Tract 4911,17031491100,68.2,
Census tract,Tract 4912,17031491200,87.4,
Census tract,Tract 4913,17031491300,93.0,
Census tract,Tract 4914,17031491400,73.9,
Census tract,Tract 5001,17031500100,71.8,
Census tract,Tract 5002,17031500200,84.5,
Census tract,Tract 5003,17031500300,80.6,
Census tract,Tract 5101,17031510100,75.9,
Census tract,Tract 5102,17031510200,68.3,
Census tract,Tract 5103,17031510300,92.9,
Census tract,Tract 5201,17031520100,97.3,
Census tract,Tract 5202,17031520200,94.1,
Census tract,Tract 5203,17031520300,80.2,
Census tract,Tract 5204,17031520400,66.1,
Census tract,Tract 5205,17031520500,80.0,
Census tract,Tract 5206,17031520600,76.3,
Census tract,Tract 5301,17031530100,98.4,
Census tract,Tract 5302,17031530200,92.9,
Census tract,Tract 5303,17031530300,65.3,
Census tract,Tract 5304,17031530400,57.5,
Census tract,Tract 5305.01,17031530501,98.5,
Census tract,Tract 5305.02,17031530502,68.8,
Census tract,Tract 5305.03,17031530503,79.5,
Census tract,Tract 5306,17031530600,70.4,
Census tract,Tract 5401.01,17031540101,99.5,
Census tract,Tract 5401.02,17031540102,98.6,
Census tract,Tract 5501,17031550100,74.5,
Census tract,Tract 5502,17031550200,60.9,
Census tract,Tract 5601,17031560100,70.9,
Census tract,Tract 5602,17031560200,75.4,
Census tract,Tract 5603,17031560300,80.7,
Census tract,Tract 5604,17031560400,77.1,
Census tract,Tract 5607,17031560700,71.6,
Census tract,Tract 5608,17031560800,37.2,
Census tract,Tract 5609,17031560900,40.3,
Census tract,Tract 5610,17031561000,39.1,
Census tract,Tract 5611,17031561100,30.0,
Census tract,Tract 5701,17031570100,88.6,
Census tract,Tract 5702,17031570200,69.4,
Census tract,Tract 5703,17031570300,86.4,
Census tract,Tract 5704,17031570400,84.7,
Census tract,Tract 5705,17031570500,96.7,
Census tract,Tract 5801,17031580100,86.2,
Census tract,Tract 5802,17031580200,89.3,
Census tract,Tract 5803,17031580300,56.8,
Census tract,Tract 5804,17031580400,83.7,
Census tract,Tract 5805.01,17031580501,81.4,
Census tract,Tract 5805.02,17031580502,88.6,
Census tract,Tract 5806,17031580600,86.7,
Census tract,Tract 5807,17031580700,98.3,
Census tract,Tract 5808,17031580800,92.6,
Census tract,Tract 5905,17031590500,20.2,
Census tract,Tract 5906,17031590600,62.4,
Census tract,Tract 5907,17031590700,67.9,
Census tract,Tract 6004,17031600400,79.0,
Census tract,Tract 6006,17031600600,61.2,
Census tract,Tract 6007,17031600700,72.9,
Census tract,Tract 6009,17031600900,65.7,
Census tract,Tract 6103,17031610300,97.6,
Census tract,Tract 6104,17031610400,94.8,
Census tract,Tract 6108,17031610800,52.8,
Census tract,Tract 6112,17031611200,92.9,
Census tract,Tract 6113,17031611300,94.1,
Census tract,Tract 6114,17031611400,98.1,
Census tract,Tract 6115,17031611500,97.1,
Census tract,Tract 6116,17031611600,98.5,
Census tract,Tract 6117,17031611700,84.4,
Census tract,Tract 6118,17031611800,81.1,
Census tract,Tract 6119,17031611900,94.4,
Census tract,Tract 6120,17031612000,79.0,
Census tract,Tract 6121,17031612100,94.6,
Census tract,Tract 6122,17031612200,94.7,
Census tract,Tract 6201,17031620100,85.3,
Census tract,Tract 6202,17031620200,72.1,
Census tract,Tract 6203,17031620300,74.1,
Census tract,Tract 6204,17031620400,83.9,
Census tract,Tract 6303,17031630300,87.4,
Census tract,Tract 6304,17031630400,96.0,
Census tract,Tract 6305,17031630500,92.4,
Census tract,Tract 6306,17031630600,97.0,
Census tract,Tract 6308,17031630800,92.5,
Census tract,Tract 6309,17031630900,89.6,
Census tract,Tract 6401,17031640100,88.2,
Census tract,Tract 6403,17031640300,79.9,
Census tract,Tract 6404,17031640400,50.7,
Census tract,Tract 6405,17031640500,51.2,
Census tract,Tract 6406,17031640600,45.6,
Census tract,Tract 6407,17031640700,56.9,
Census tract,Tract 6408,17031640800,71.9,
Census tract,Tract 6501,17031650100,78.8,
Census tract,Tract 6502,17031650200,52.4,
Census tract,Tract 6503.01,17031650301,89.6,
Census tract,Tract 6503.02,17031650302,93.9,
Census tract,Tract 6504,17031650400,95.0,
Census tract,Tract 6505,17031650500,82.0,
Census tract,Tract 6603.01,17031660301,95.6,
Census tract,Tract 6603.02,17031660302,91.5,
Census tract,Tract 6604,17031660400,90.7,
Census tract,Tract 6605,17031660500,93.1,
Census tract,Tract 6606,17031660600,93.1,
Census tract,Tract 6607,17031660700,96.1,
Census tract,Tract 6608,17031660800,90.8,
Census tract,Tract 6609,17031660900,95.8,
Census tract,Tract 6610,17031661000,83.6,
Census tract,Tract 6611,17031661100,85.2,
Census tract,Tract 6701,17031670100,95.7,
Census tract,Tract 6702,17031670200,57.0,
Census tract,Tract 6703,17031670300,86.3,
Census tract,Tract 6704,17031670400,95.5,
Census tract,Tract 6705,17031670500,97.9,
Census tract,Tract 6706,17031670600,95.2,
Census tract,Tract 6707,17031670700,99.6,
Census tract,Tract 6708,17031670800,92.7,
Census tract,Tract 6709,17031670900,94.3,
Census tract,Tract 6711,17031671100,99.6,
Census tract,Tract 6712,17031671200,99.0,
Census tract,Tract 6713,17031671300,94.3,
Census tract,Tract 6714,17031671400,93.9,
Census tract,Tract 6715,17031671500,90.0,
Census tract,Tract 6716,17031671600,95.7,
Census tract,Tract 6718,17031671800,95.3,
Census tract,Tract 6719,17031671900,67.0,
Census tract,Tract 6720,17031672000,92.4,
Census tract,Tract 6805,17031680500,82.9,
Census tract,Tract 6806,17031680600,84.3,
Census tract,Tract 6809,17031680900,98.3,
Census tract,Tract 6810,17031681000,97.1,
Census tract,Tract 6811,17031681100,87.8,
Census tract,Tract 6812,17031681200,96.7,
Census tract,Tract 6813,17031681300,94.9,
Census tract,Tract 6814,17031681400,69.7,
Census tract,Tract 6903,17031690300,90.1,
Census tract,Tract 6904,17031690400,82.6,
Census tract,Tract 6905,17031690500,91.0,
Census tract,Tract 6909,17031690900,87.1,
Census tract,Tract 6910,17031691000,67.6,
Census tract,Tract 6911,17031691100,75.6,
Census tract,Tract 6912,17031691200,83.8,
