Layer,Name,GEOID,CHACFZN_2023,CHACFZN_2023_moe
Census tract,Tract 7706.02,17031770602,36,
Census tract,Tract 7707,17031770700,40,
Census tract,Tract 7708,17031770800,31,
Census tract,Tract 7709.01,17031770901,51,
Census tract,Tract 7709.02,17031770902,48,
Census tract,Tract 8104,17031810400,88,
Census tract,Tract 8105.01,17031810501,66,
Census tract,Tract 8105.02,17031810502,42,
Census tract,Tract 8106,17031810600,49,
Census tract,Tract 8233.04,17031823304,28,
Census tract,Tract 8305,17031830500,16,
Census tract,Tract 8306,17031830600,33,
Census tract,Tract 8307,17031830700,37,
Census tract,Tract 8308,17031830800,66,
Census tract,Tract 8309,17031830900,72,
Census tract,Tract 8310,17031831000,96,
Census tract,Tract 8311,17031831100,40,
Census tract,Tract 8312,17031831200,15,
Census tract,Tract 8313,17031831300,5,
Census tract,Tract 8314,17031831400,3,
Census tract,Tract 8315,17031831500,22,
Census tract,Tract 8316,17031831600,25,
Census tract,Tract 8317,17031831700,33,
Census tract,Tract 8318,17031831800,38,
Census tract,Tract 8319,17031831900,84,
Census tract,Tract 8320,17031832000,83,
Census tract,Tract 8321,17031832100,49,
Census tract,Tract 8322,17031832200,84,
Census tract,Tract 8323,17031832300,75,
Census tract,Tract 8324,17031832400,63,
Census tract,Tract 8325,17031832500,86,
Census tract,Tract 8326,17031832600,97,
Census tract,Tract 8329,17031832900,81,
Census tract,Tract 8330,17031833000,87,
Census tract,Tract 8331,17031833100,94,
Census tract,Tract 8333,17031833300,84,
Census tract,Tract 8339,17031833900,2,
Census tract,Tract 8340,17031834000,12,
Census tract,Tract 8342,17031834200,16,
Census tract,Tract 8343,17031834300,20,
Census tract,Tract 8344,17031834400,26,
Census tract,Tract 8345,17031834500,10,
Census tract,Tract 8346,17031834600,3,
Census tract,Tract 8347,17031834700,2,
Census tract,Tract 8348,17031834800,1,
Census tract,Tract 8349,17031834900,1,
Census tract,Tract 8350,17031835000,9,
Census tract,Tract 8351,17031835100,9,
Census tract,Tract 8352,17031835200,33,
Census tract,Tract 8355,17031835500,4,
Census tract,Tract 8356,17031835600,1,
Census tract,Tract 8358,17031835800,34,
Census tract,Tract 8360,17031836000,36,
Census tract,Tract 8361,17031836100,14,
Census tract,Tract 8362,17031836200,56,
Census tract,Tract 8363,17031836300,40,
Census tract,Tract 8364,17031836400,27,
Census tract,Tract 8365,17031836500,20,
Census tract,Tract 8366,17031836600,28,
Census tract,Tract 8367,17031836700,11,
Census tract,Tract 8368,17031836800,2,
Census tract,Tract 8369,17031836900,10,
Census tract,Tract 8370,17031837000,19,
Census tract,Tract 8371,17031837100,21,
Census tract,Tract 8373,17031837300,5,
Census tract,Tract 8374,17031837400,18,
Census tract,Tract 8378,17031837800,32,
Census tract,Tract 8380,17031838000,21,
Census tract,Tract 8381,17031838100,36,
Census tract,Tract 8382,17031838200,50,
Census tract,Tract 8383,17031838300,74,
Census tract,Tract 8386,17031838600,1,
Census tract,Tract 8387,17031838700,1,
Census tract,Tract 8388,17031838800,3,
Census tract,Tract 8390,17031839000,87,
Census tract,Tract 8391,17031839100,86,
Census tract,Tract 8392,17031839200,45,
Census tract,Tract 8395,17031839500,37,
Census tract,Tract 8396,17031839600,27,
Census tract,Tract 8397,17031839700,53,
Census tract,Tract 8398,17031839800,53,
Census tract,Tract 8399,17031839900,59,
Census tract,Tract 8400,17031840000,53,
Census tract,Tract 8401,17031840100,41,
Census tract,Tract 8402,17031840200,39,
Census tract,Tract 8403,17031840300,30,
Census tract,Tract 8404,17031840400,33,
Census tract,Tract 8407,17031840700,27,
Census tract,Tract 8408,17031840800,7,
Census tract,Tract 8410,17031841000,65,
Census tract,Tract 8411,17031841100,33,
Census tract,Tract 8412,17031841200,17,
Census tract,Tract 8413,17031841300,32,
Census tract,Tract 8415,17031841500,1,
Census tract,Tract 8417,17031841700,6,
Census tract,Tract 8418,17031841800,12,
Census tract,Tract 8419,17031841900,79,
Census tract,Tract 8420,17031842000,50,
Census tract,Tract 8421,17031842100,8,
Census tract,Tract 8422,17031842200,95,
Census tract,Tract 8423,17031842300,94,
Census tract,Tract 8424,17031842400,31,
Census tract,Tract 8425,17031842500,8,
Census tract,Tract 8426,17031842600,29,
Census tract,Tract 8428,17031842800,19,
Census tract,Tract 8429,17031842900,23,
Census tract,Tract 8430,17031843000,2,
Census tract,Tract 8431,17031843100,8,
Census tract,Tract 8432,17031843200,34,
Census tract,Tract 8433,17031843300,11,
Census tract,Tract 8434,17031843400,9,
Census tract,Tract 8435,17031843500,3,
Census tract,Tract 8436,17031843600,25,
Census tract,Tract 8437,17031843700,80,
Census tract,Tract 8438,17031843800,14,
Census tract,Tract 8439,17031843900,21,
Census tract,Tract 8446,17031844600,29,
Census tract,Tract 8447,17031844700,7,
Census tract,Tract 9801,17031980100,22,
