Layer,Name,GEOID,CHACFZN_2023,CHACFZN_2023_moe
Census tract,Tract 817,17031081700,94,
Census tract,Tract 818,17031081800,98,
Census tract,Tract 819,17031081900,91,
Census tract,Tract 901,17031090100,81,
Census tract,Tract 902,17031090200,72,
Census tract,Tract 903,17031090300,78,
Census tract,Tract 1001,17031100100,60,
Census tract,Tract 1002,17031100200,67,
Census tract,Tract 1003,17031100300,63,
Census tract,Tract 1004,17031100400,82,
Census tract,Tract 1005,17031100500,81,
Census tract,Tract 1006,17031100600,53,
Census tract,Tract 1007,17031100700,70,
Census tract,Tract 1101,17031110100,63,
Census tract,Tract 1102,17031110200,43,
Census tract,Tract 1103,17031110300,55,
Census tract,Tract 1104,17031110400,58,
Census tract,Tract 1105.01,17031110501,54,
Census tract,Tract 1105.02,17031110502,54,
Census tract,Tract 1201,17031120100,91,
Census tract,Tract 1202,17031120200,91,
Census tract,Tract 1203,17031120300,85,
Census tract,Tract 1204,17031120400,62,
Census tract,Tract 1301,17031130100,47,
Census tract,Tract 1302,17031130200,63,
Census tract,Tract 1303,17031130300,36,
Census tract,Tract 1401,17031140100,41,
Census tract,Tract 1402,17031140200,33,
Census tract,Tract 1403.01,17031140301,19,
Census tract,Tract 1403.02,17031140302,35,
Census tract,Tract 1404,17031140400,48,
Census tract,Tract 1405,17031140500,38,
Census tract,Tract 1406.01,17031140601,25,
Census tract,Tract 1406.02,17031140602,22,
Census tract,Tract 1407.01,17031140701,40,
Census tract,Tract 1407.02,17031140702,34,
Census tract,Tract 1408,17031140800,49,
Census tract,Tract 1502,17031150200,38,
Census tract,Tract 1503,17031150300,47,
Census tract,Tract 1504.01,17031150401,44,
Census tract,Tract 1504.02,17031150402,43,
Census tract,Tract 1505.01,17031150501,62,
Census tract,Tract 1505.02,17031150502,44,
Census tract,Tract 1506,17031150600,39,
Census tract,Tract 1507,17031150700,43,
Census tract,Tract 1508,17031150800,33,
Census tract,Tract 1510.01,17031151001,28,
Census tract,Tract 1510.02,17031151002,21,
Census tract,Tract 1511,17031151100,29,
Census tract,Tract 1512,17031151200,37,
Census tract,Tract 1601,17031160100,59,
Census tract,Tract 1602,17031160200,60,
Census tract,Tract 1603,17031160300,39,
Census tract,Tract 1604,17031160400,38,
Census tract,Tract 1605.01,17031160501,34,
Census tract,Tract 1605.02,17031160502,46,
Census tract,Tract 1606.01,17031160601,60,
Census tract,Tract 1606.02,17031160602,49,
Census tract,Tract 1607,17031160700,52,
Census tract,Tract 1608,17031160800,36,
Census tract,Tract 1609,17031160900,59,
Census tract,Tract 1610,17031161000,64,
Census tract,Tract 1611,17031161100,68,
Census tract,Tract 1612,17031161200,33,
Census tract,Tract 1613,17031161300,27,
Census tract,Tract 1701,17031170100,43,
Census tract,Tract 1702,17031170200,48,
Census tract,Tract 1703,17031170300,47,
Census tract,Tract 1704,17031170400,48,
Census tract,Tract 1705,17031170500,52,
Census tract,Tract 1706,17031170600,46,
Census tract,Tract 1707,17031170700,41,
Census tract,Tract 1708,17031170800,42,
Census tract,Tract 1709,17031170900,25,
Census tract,Tract 1710,17031171000,41,
Census tract,Tract 1711,17031171100,39,
Census tract,Tract 1801,17031180100,37,
Census tract,Tract 1901,17031190100,15,
Census tract,Tract 1902,17031190200,21,
Census tract,Tract 1903,17031190300,21,
Census tract,Tract 1904.01,17031190401,35,
Census tract,Tract 1904.02,17031190402,19,
Census tract,Tract 1906.01,17031190601,17,
Census tract,Tract 1906.02,17031190602,23,
Census tract,Tract 1907.01,17031190701,22,
Census tract,Tract 1907.02,17031190702,9,
Census tract,Tract 1908,17031190800,12,
Census tract,Tract 1909,17031190900,17,
Census tract,Tract 1910,17031191000,18,
Census tract,Tract 1911,17031191100,13,
Census tract,Tract 1912,17031191200,8,
Census tract,Tract 1913.01,17031191301,16,
