Layer,Name,GEOID,Population,POP_2020-2024_moe
Census tract,Tract 812.01,17031081201,"4,442",567
Census tract,Tract 812.02,17031081202,"3,501",598
Census tract,Tract 813,17031081300,"5,704",875
Census tract,Tract 814.01,17031081401,"2,503",289
Census tract,Tract 814.02,17031081402,"6,687",802
Census tract,Tract 814.03,17031081403,"10,291","1,228"
Census tract,Tract 815,17031081500,"5,237",654
Census tract,Tract 816,17031081600,"4,553",652
Census tract,Tract 817,17031081700,"5,161",535
Census tract,Tract 818,17031081800,"13,521","1,256"
Census tract,Tract 819,17031081900,"1,326",276
Census tract,Tract 901,17031090100,"3,567",468
Census tract,Tract 902,17031090200,"6,618",891
Census tract,Tract 903,17031090300,"1,373",199
Census tract,Tract 1001,17031100100,"5,850",880
Census tract,Tract 1002,17031100200,"7,742",859
Census tract,Tract 1003,17031100300,"6,495",623
Census tract,Tract 1004,17031100400,"3,350",518
Census tract,Tract 1005,17031100500,"5,952",677
Census tract,Tract 1006,17031100600,"4,806",568
Census tract,Tract 1007,17031100700,"5,335",685
Census tract,Tract 1101,17031110100,"5,401",893
Census tract,Tract 1102,17031110200,"2,871",545
Census tract,Tract 1103,17031110300,"5,183",768
Census tract,Tract 1104,17031110400,"4,658",489
Census tract,Tract 1105.01,17031110501,"5,017",584
Census tract,Tract 1105.02,17031110502,"3,519",572
Census tract,Tract 1201,17031120100,"4,284",537
Census tract,Tract 1202,17031120200,"4,600",495
Census tract,Tract 1203,17031120300,"7,025",718
Census tract,Tract 1204,17031120400,"3,992",536
Census tract,Tract 1301,17031130100,"5,418",882
Census tract,Tract 1302,17031130200,"1,394",289
Census tract,Tract 1303,17031130300,"4,944",658
Census tract,Tract 1401,17031140100,"3,610",562
Census tract,Tract 1402,17031140200,"6,048",699
Census tract,Tract 1403.01,17031140301,"2,715",535
Census tract,Tract 1403.02,17031140302,"3,407",370
Census tract,Tract 1404,17031140400,"5,850",826
Census tract,Tract 1405,17031140500,"3,315",462
Census tract,Tract 1406.01,17031140601,"2,468",405
Census tract,Tract 1406.02,17031140602,"4,211",716
Census tract,Tract 1407.01,17031140701,"2,870",500
Census tract,Tract 1407.02,17031140702,"5,120",667
Census tract,Tract 1408,17031140800,"5,924",837
Census tract,Tract 1502,17031150200,"7,406","1,199"
Census tract,Tract 1503,17031150300,"7,180",746
Census tract,Tract 1504.01,17031150401,"5,310",859
Census tract,Tract 1504.02,17031150402,"3,923",472
Census tract,Tract 1505.01,17031150501,"3,935",489
Census tract,Tract 1505.02,17031150502,"4,460",622
Census tract,Tract 1506,17031150600,"4,036",613
Census tract,Tract 1507,17031150700,"3,915",832
Census tract,Tract 1508,17031150800,"4,652",785
Census tract,Tract 1510.01,17031151001,"2,616",399
Census tract,Tract 1510.02,17031151002,"4,473",807
Census tract,Tract 1511,17031151100,"5,408",697
Census tract,Tract 1512,17031151200,"3,447",509
Census tract,Tract 1601,17031160100,"2,614",399
Census tract,Tract 1602,17031160200,"3,363",389
Census tract,Tract 1603,17031160300,"3,567",461
Census tract,Tract 1604,17031160400,"5,419",723
Census tract,Tract 1605.01,17031160501,"3,524",489
Census tract,Tract 1605.02,17031160502,"4,227",832
Census tract,Tract 1606.01,17031160601,"3,049",459
Census tract,Tract 1606.02,17031160602,"3,418",376
Census tract,Tract 1607,17031160700,"6,093",930
Census tract,Tract 1608,17031160800,"4,677",881
Census tract,Tract 1609,17031160900,"2,496",422
Census tract,Tract 1610,17031161000,"2,060",302
Census tract,Tract 1611,17031161100,"2,098",232
Census tract,Tract 1612,17031161200,"2,837",495
Census tract,Tract 1613,17031161300,"3,890",685
Census tract,Tract 1701,17031170100,"2,085",331
Census tract,Tract 1702,17031170200,"3,553",667
Census tract,Tract 1703,17031170300,"4,794",609
Census tract,Tract 1704,17031170400,"4,074",614
Census tract,Tract 1705,17031170500,"4,899",840
Census tract,Tract 1706,17031170600,"2,500",352
Census tract,Tract 1707,17031170700,"3,323",584
Census tract,Tract 1708,17031170800,"4,097",461
Census tract,Tract 1709,17031170900,"1,854",475
Census tract,Tract 1710,17031171000,"6,178",783
Census tract,Tract 1711,17031171100,"3,876",565
Census tract,Tract 1801,17031180100,"7,040",999
Census tract,Tract 1901,17031190100,"2,423",508
Census tract,Tract 1902,17031190200,"5,766",944
Census tract,Tract 1903,17031190300,"5,728",677
Census tract,Tract 1904.01,17031190401,"3,855",471
Census tract,Tract 1904.02,17031190402,"4,580",873
Census tract,Tract 1906.01,17031190601,"3,788",939
Census tract,Tract 1906.02,17031190602,"5,745","1,081"
Census tract,Tract 1907.01,17031190701,"2,684",690
Census tract,Tract 1907.02,17031190702,"4,392",659
Census tract,Tract 1908,17031190800,"6,018","1,378"
Census tract,Tract 1909,17031190900,"1,818",591
Census tract,Tract 1910,17031191000,"2,315",522
Census tract,Tract 1911,17031191100,"6,279","1,455"
Census tract,Tract 1912,17031191200,"3,836",938
Census tract,Tract 1913.01,17031191301,"4,856",878
Census tract,Tract 1913.02,17031191302,"4,227",788
Census tract,Tract 2001,17031200100,"4,004",588
Census tract,Tract 2002,17031200200,"4,601",876
Census tract,Tract 2003,17031200300,"1,858",379
Census tract,Tract 2004.01,17031200401,"3,138",608
Census tract,Tract 2004.02,17031200402,"4,378",753
Census tract,Tract 2101,17031210100,"4,206",578
Census tract,Tract 2104,17031210400,"3,095",679
Census tract,Tract 2105.01,17031210501,"2,899",466
Census tract,Tract 2105.02,17031210502,"4,300",700
Census tract,Tract 2106.01,17031210601,"2,429",436
Census tract,Tract 2106.02,17031210602,"3,942",744
Census tract,Tract 2107,17031210700,"3,769",639
Census tract,Tract 2108,17031210800,"1,073",155
Census tract,Tract 2109,17031210900,"3,060",348
Census tract,Tract 2203,17031220300,"2,142",300
Census tract,Tract 2204,17031220400,"2,530",458
Census tract,Tract 2205,17031220500,"2,897",401
Census tract,Tract 2206.01,17031220601,"1,680",234
Census tract,Tract 2206.02,17031220602,"4,358",705
Census tract,Tract 2207.01,17031220701,"2,851",497
Census tract,Tract 2207.02,17031220702,"3,903",603
Census tract,Tract 2209.01,17031220901,"2,994",401
Census tract,Tract 2209.02,17031220902,"3,020",518
Census tract,Tract 2210,17031221000,"2,504",490
Census tract,Tract 2211,17031221100,"4,186",669
Census tract,Tract 2212,17031221200,"3,096",477
Census tract,Tract 2213,17031221300,"2,769",370
Census tract,Tract 2214,17031221400,"2,995",422
Census tract,Tract 2215,17031221500,"3,237",517
Census tract,Tract 2216,17031221600,"3,406",499
Census tract,Tract 2222,17031222200,"2,151",312
Census tract,Tract 2225,17031222500,"1,241",279
Census tract,Tract 2226,17031222600,"1,465",218
Census tract,Tract 2227,17031222700,"2,035",419
Census tract,Tract 2228,17031222800,945,270
Census tract,Tract 2229,17031222900,"1,171",254
Census tract,Tract 2301,17031230100,"1,516",300
Census tract,Tract 2302,17031230200,"1,936",395
Census tract,Tract 2303,17031230300,967,289
Census tract,Tract 2304,17031230400,"2,122",399
Census tract,Tract 2305,17031230500,"3,673",616
Census tract,Tract 2306,17031230600,"8,582","2,145"
Census tract,Tract 2307,17031230700,"5,345","1,252"
Census tract,Tract 2308,17031230800,993,253
Census tract,Tract 2309,17031230900,"4,792",692
Census tract,Tract 2311,17031231100,"1,248",275
Census tract,Tract 2312,17031231200,"6,098","1,337"
Census tract,Tract 2315,17031231500,"6,045","1,436"
Census tract,Tract 2402,17031240200,"1,743",428
Census tract,Tract 2403,17031240300,"1,299",187
Census tract,Tract 2405,17031240500,"2,329",381
Census tract,Tract 2406,17031240600,"1,739",255
Census tract,Tract 2407,17031240700,"1,509",260
Census tract,Tract 2408,17031240800,"1,583",195
Census tract,Tract 2409,17031240900,"1,247",222
Census tract,Tract 2410,17031241000,"1,948",195
Census tract,Tract 2411,17031241100,"3,498",350
Census tract,Tract 2412,17031241200,"1,692",260
Census tract,Tract 2413,17031241300,"1,844",198
Census tract,Tract 2414,17031241400,"5,693",773
Census tract,Tract 2415,17031241500,"2,769",330
Census tract,Tract 2416,17031241600,"3,779",488
Census tract,Tract 2420,17031242000,"4,575",542
Census tract,Tract 2421,17031242100,"3,792",612
Census tract,Tract 2422,17031242200,"4,182",504
Census tract,Tract 2423,17031242300,"3,208",434
Census tract,Tract 2424,17031242400,"3,084",385
Census tract,Tract 2425,17031242500,"3,394",465
Census tract,Tract 2426,17031242600,"5,888",843
Census tract,Tract 2427,17031242700,"1,880",292
Census tract,Tract 2428,17031242800,"1,575",209
Census tract,Tract 2429,17031242900,"2,242",500
Census tract,Tract 2430,17031243000,"2,364",391
Census tract,Tract 2431,17031243100,"1,912",335
Census tract,Tract 2432,17031243200,"2,587",465
Census tract,Tract 2433,17031243300,"2,340",292
Census tract,Tract 2434,17031243400,"2,972",391
Census tract,Tract 2435,17031243500,"4,824",671
Census tract,Tract 2502,17031250200,"2,610",618
Census tract,Tract 2503,17031250300,"5,144",889
Census tract,Tract 2504,17031250400,"5,733",869
Census tract,Tract 2505,17031250500,"7,509",952
Census tract,Tract 2506,17031250600,"3,887",678
Census tract,Tract 2507,17031250700,"6,676","1,156"
Census tract,Tract 2508,17031250800,"2,742",535
Census tract,Tract 2510,17031251000,"1,196",341
